Company Name,Industry,Symbol,Series,ISIN Code,Category
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014,Midcap
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020,Midcap
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027,Midcap
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026,Midcap
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,Midcap
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022,Midcap
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021,Midcap
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014,Midcap
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039,Midcap
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017,Midcap
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011,Midcap
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,Midcap
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,Midcap
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011,Midcap
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028,Midcap
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021,Midcap
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010,Midcap
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016,Midcap
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021,Midcap
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035,Midcap
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,Nifty100
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,Nifty100
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,Nifty100
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,Nifty100
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,Nifty100
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011,Nifty100
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,Nifty100
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,Nifty100
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,Nifty100
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,Nifty100
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,Nifty100
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,Nifty100
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,Nifty100
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,Nifty100
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,Nifty100
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014,Nifty100
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,Nifty100
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,Nifty100
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,Nifty100
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,Nifty100
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,Nifty100
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,Nifty100
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,Nifty100
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,Nifty100
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,Nifty100
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,Nifty100
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,Nifty100
DLF Ltd.,Realty,DLF,EQ,INE271C01023,Nifty100
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,Nifty100
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,Nifty100
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,Nifty100
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,Nifty100
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015,Nifty100
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,Nifty100
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,Nifty100
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,Nifty100
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,Nifty100
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,Nifty100
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,Nifty100
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,Nifty100
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,Nifty100
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,Nifty100
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,Nifty100
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,Nifty100
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027,Nifty100
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,Nifty100
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,Nifty100
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,Nifty100
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,Nifty100
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,Nifty100
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,Nifty100
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,Nifty100
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,Nifty100
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032,Nifty100
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,Nifty100
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,Nifty100
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,Nifty100
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,Nifty100
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,Nifty100
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017,Nifty100
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028,Nifty100
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019,Nifty100
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,Nifty100
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,Nifty100
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029,Nifty100
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,Nifty100
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,Nifty100
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,Nifty100
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,Nifty100
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,Nifty100
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,Nifty100
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,Nifty100
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,Nifty100
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,Nifty100
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,Nifty100
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,Nifty100
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,Nifty100
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,Nifty100
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,Nifty100
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,Nifty100
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,Nifty100
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,Nifty100
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,Nifty100
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014,Nifty100
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,Nifty100
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,Nifty100
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,Nifty100
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,Nifty100
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,Nifty100
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,Nifty100
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,Nifty100
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,Nifty100
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,Nifty100
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,Nifty100
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,Nifty100
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024,Nifty100
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039,Nifty100
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,Nifty100
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,Nifty100
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,Nifty100
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,Nifty500
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,Nifty500
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,Nifty500
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,Nifty500
ACME Solar Holdings Ltd.,Power,ACMESOLAR,EQ,INE622W01025,Nifty500
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026,Nifty500
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,Nifty500
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,Nifty500
AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,Nifty500
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010,Nifty500
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020,Nifty500
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,Nifty500
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,Nifty500
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025,Nifty500
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,Nifty500
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,Nifty500
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,Nifty500
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,Nifty500
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011,Nifty500
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,Nifty500
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,Nifty500
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011,Nifty500
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016,Nifty500
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024,Nifty500
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025,Nifty500
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011,Nifty500
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,Nifty500
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049,Nifty500
Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS,EQ,INE09XN01023,Nifty500
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018,Nifty500
Alivus Life Sciences Ltd.,Healthcare,ALIVUS,EQ,INE03Q201024,Nifty500
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,Nifty500
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039,Nifty500
Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029,Nifty500
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032,Nifty500
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,Nifty500
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,Nifty500
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026,Nifty500
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024,Nifty500
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013,Nifty500
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015,Nifty500
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,Nifty500
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,Nifty500
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025,Nifty500
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020,Nifty500
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,Nifty500
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,Nifty500
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019,Nifty500
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020,Nifty500
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,Nifty500
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010,Nifty500
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,Nifty500
Authum Investment & Infrastructure Ltd.,Financial Services,AIIL,EQ,INE206F01022,Nifty500
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,Nifty500
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,Nifty500
BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013,Nifty500
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016,Nifty500
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027,Nifty500
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,Nifty500
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,Nifty500
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,Nifty500
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,Nifty500
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,Nifty500
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014,Nifty500
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026,Nifty500
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028,Nifty500
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014,Nifty500
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,Nifty500
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,Nifty500
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014,Nifty500
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028,Nifty500
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022,Nifty500
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038,Nifty500
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026,Nifty500
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,Nifty500
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,Nifty500
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,Nifty500
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,Nifty500
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,Nifty500
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021,Nifty500
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023,Nifty500
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,Nifty500
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035,Nifty500
Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017,Nifty500
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,Nifty500
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025,Nifty500
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,Nifty500
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,INE02RE01045,Nifty500
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019,Nifty500
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,Nifty500
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023,Nifty500
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022,Nifty500
CESC Ltd.,Power,CESC,EQ,INE486A01021,Nifty500
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,Nifty500
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025,Nifty500
Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022,Nifty500
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020,Nifty500
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,Nifty500
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026,Nifty500
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01042,Nifty500
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034,Nifty500
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027,Nifty500
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020,Nifty500
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010,Nifty500
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011,Nifty500
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ,INE348B01021,Nifty500
Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017,Nifty500
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016,Nifty500
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013,Nifty500
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016,Nifty500
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033,Nifty500
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,Nifty500
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,Nifty500
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021,Nifty500
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023,Nifty500
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,Nifty500
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025,Nifty500
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025,Nifty500
Cohance Lifesciences Ltd.,Healthcare,COHANCE,EQ,INE03QK01018,Nifty500
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,Nifty500
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012,Nifty500
Concord Biotech Ltd.,Healthcare,CONCORDBIO,EQ,INE338H01029,Nifty500
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025,Nifty500
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031,Nifty500
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,EQ,INE00LO01017,Nifty500
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010,Nifty500
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018,Nifty500
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,Nifty500
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020,Nifty500
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,INE499A01024,Nifty500
DLF Ltd.,Realty,DLF,EQ,INE271C01023,Nifty500
DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS,EQ,INE321T01012,Nifty500
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,Nifty500
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025,Nifty500
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010,Nifty500
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019,Nifty500
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029,Nifty500
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028,Nifty500
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023,Nifty500
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,Nifty500
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,Nifty500
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024,Nifty500
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,Nifty500
Dummy Valor Estate Ltd.,Consumer Services,DUMMYDBRLT,BE,DUM879I01012,Nifty500
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY,EQ,INE126A01031,Nifty500
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023,Nifty500
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,Nifty500
Elecon Engineering Co. Ltd.,Capital Goods,ELECON,EQ,INE205B01031,Nifty500
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027,Nifty500
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032,Nifty500
Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE,EQ,INE168P01015,Nifty500
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037,Nifty500
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028,Nifty500
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024,Nifty500
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014,Nifty500
